 nKp, tKp, nKpV, tDesc, nMatch, tMatch, Atot, AUnion | Kp size;
132, 0.0128541, 20, 0.0121963, 
104, 0.00955541, 15, 0.0123924, 13, 0.000331125, 212.057, 195| 699, 181, 4.24264; 659, 183, 4.24264; 664, 186, 4.24264; 637, 187, 4.24264; 696, 192, 4.24264; 622, 193, 4.24264; 703, 194, 4.24264; 660, 194, 4.24264; 636, 201, 4.24264; 608, 201, 4.24264; 686, 209, 4.24264; 678, 209, 4.24264; 613, 221, 4.24264; 687, 246, 4.24264; 558, 247, 4.24264; 
133, 0.0115817, 21, 0.0133339, 13, 0.000400882, 296.88, 273| 700, 181, 4.24264; 652, 183, 4.24264; 657, 186, 4.24264; 665, 186, 4.24264; 638, 188, 4.24264; 702, 189, 4.24264; 591, 189, 4.24264; 660, 189, 4.24264; 623, 193, 4.24264; 697, 192, 4.24264; 583, 193, 4.24264; 703, 195, 4.24264; 661, 194, 4.24264; 636, 201, 4.24264; 609, 201, 4.24264; 678, 209, 4.24264; 687, 209, 4.24264; 613, 222, 4.24264; 689, 231, 4.24264; 680, 247, 4.24264; 688, 247, 4.24264; 
131, 0.0111736, 22, 0.012904, 18, 0.000371836, 311.018, 286| 677, 180, 4.24264; 645, 183, 4.24264; 700, 182, 4.24264; 615, 183, 4.24264; 638, 188, 4.24264; 650, 187, 4.24264; 658, 187, 4.24264; 703, 189, 4.24264; 623, 194, 4.24264; 697, 192, 4.24264; 704, 195, 4.24264; 661, 194, 4.24264; 583, 196, 4.24264; 609, 202, 4.24264; 637, 201, 4.24264; 687, 210, 4.24264; 679, 210, 4.24264; 614, 222, 4.24264; 690, 232, 4.24264; 689, 248, 4.24264; 558, 248, 4.24264; 567, 248, 4.24264; 
185, 0.0109421, 28, 0.0119732, 22, 0.000603857, 395.841, 364| 678, 180, 4.24264; 637, 182, 4.24264; 701, 182, 4.24264; 615, 183, 4.24264; 539, 186, 4.24264; 636, 188, 4.24264; 643, 187, 4.24264; 651, 187, 4.24264; 670, 187, 4.24264; 703, 189, 4.24264; 662, 190, 4.24264; 624, 194, 4.24264; 698, 193, 4.24264; 705, 195, 4.24264; 662, 195, 4.24264; 583, 197, 4.24264; 610, 202, 4.24264; 638, 202, 4.24264; 680, 210, 4.24264; 688, 211, 4.24264; 537, 214, 4.24264; 614, 223, 4.24264; 688, 222, 4.24264; 691, 233, 4.24264; 558, 249, 4.24264; 567, 249, 4.24264; 682, 249, 4.24264; 690, 249, 4.24264; 
529, 0.0276253, 56, 0.0123024, 25, 0.000738328, 791.681, 727| 678, 180, 4.24264; 711, 180, 4.24264; 626, 181, 4.24264; 630, 183, 4.24264; 702, 182, 4.24264; 613, 185, 4.24264; 705, 185, 4.24264; 538, 186, 4.24264; 593, 188, 4.24264; 625, 186, 4.24264; 618, 187, 4.24264; 635, 187, 4.24264; 644, 187, 4.24264; 663, 187, 4.24264; 583, 197, 4.24264; 669, 190, 4.24264; 698, 193, 4.24264; 663, 196, 4.24264; 704, 190, 4.24264; 712, 190, 4.24264; 535, 193, 4.24264; 633, 191, 4.24264; 638, 191, 4.24264; 624, 195, 4.24264; 584, 193, 4.24264; 706, 196, 4.24264; 670, 195, 4.24264; 702, 196, 4.24264; 537, 200, 4.24264; 673, 201, 4.24264; 692, 201, 4.24264; 610, 203, 4.24264; 638, 203, 4.24264; 701, 203, 4.24264; 622, 205, 4.24264; 681, 211, 4.24264; 688, 211, 4.24264; 695, 212, 4.24264; 535, 216, 4.24264; 685, 214, 4.24264; 566, 215, 4.24264; 686, 219, 4.24264; 615, 224, 4.24264; 689, 223, 4.24264; 636, 225, 4.24264; 643, 225, 4.24264; 668, 225, 4.24264; 558, 234, 4.24264; 693, 234, 4.24264; 699, 239, 4.24264; 683, 250, 4.24264; 691, 250, 4.24264; 559, 250, 4.24264; 567, 250, 4.24264; 710, 251, 4.24264; 536, 307, 4.24264; 
90, 0.00952305, 18, 0.0120092, 19, 0.000690341, 254.469, 234| 678, 180, 4.24264; 702, 182, 4.24264; 670, 186, 4.24264; 638, 187, 4.24264; 656, 187, 4.24264; 664, 187, 4.24264; 705, 190, 4.24264; 699, 193, 4.24264; 625, 195, 4.24264; 706, 196, 4.24264; 664, 196, 4.24264; 639, 203, 4.24264; 611, 203, 4.24264; 688, 211, 4.24264; 615, 224, 4.24264; 694, 235, 4.24264; 692, 250, 4.24264; 559, 251, 4.24264; 
244, 0.0135119, 35, 0.0121896, 17, 0.000533195, 494.801, 453| 679, 180, 4.24264; 712, 180, 4.24264; 702, 182, 4.24264; 613, 184, 4.24264; 663, 184, 4.24264; 670, 184, 4.24264; 537, 186, 4.24264; 657, 187, 4.24264; 593, 187, 4.24264; 639, 187, 4.24264; 648, 187, 4.24264; 634, 188, 4.24264; 705, 190, 4.24264; 662, 190, 4.24264; 625, 195, 4.24264; 700, 193, 4.24264; 707, 196, 4.24264; 583, 197, 4.24264; 664, 195, 4.24264; 704, 196, 4.24264; 674, 200, 4.24264; 611, 203, 4.24264; 640, 202, 4.24264; 689, 211, 4.24264; 683, 211, 4.24264; 535, 215, 4.24264; 567, 215, 4.24264; 616, 224, 4.24264; 637, 225, 4.24264; 559, 232, 4.24264; 695, 235, 4.24264; 684, 250, 4.24264; 693, 250, 4.24264; 559, 251, 4.24264; 567, 251, 4.24264; 
195, 0.0119612, 28, 0.0119817, 30, 0.00069735, 395.841, 364| 679, 180, 4.24264; 669, 182, 4.24264; 703, 182, 4.24264; 655, 184, 4.24264; 613, 184, 4.24264; 650, 187, 4.24264; 638, 188, 4.24264; 662, 190, 4.24264; 706, 190, 4.24264; 626, 195, 4.24264; 700, 193, 4.24264; 588, 194, 4.24264; 708, 196, 4.24264; 666, 196, 4.24264; 584, 197, 4.24264; 675, 201, 4.24264; 640, 203, 4.24264; 612, 203, 4.24264; 689, 211, 4.24264; 684, 211, 4.24264; 616, 224, 4.24264; 638, 226, 4.24264; 559, 232, 4.24264; 696, 236, 4.24264; 559, 251, 4.24264; 568, 251, 4.24264; 685, 251, 4.24264; 694, 251, 4.24264; 
351, 0.0159956, 41, 0.0127614, 27, 0.000690781, 579.624, 523| 679, 180, 4.24264; 713, 180, 4.24264; 630, 180, 4.24264; 647, 184, 4.24264; 704, 182, 4.24264; 671, 184, 4.24264; 613, 184, 4.24264; 535, 185, 4.24264; 707, 190, 4.24264; 593, 187, 4.24264; 633, 186, 4.24264; 642, 186, 4.24264; 638, 190, 4.24264; 663, 190, 4.24264; 626, 195, 4.24264; 588, 194, 4.24264; 701, 193, 4.24264; 666, 196, 4.24264; 708, 196, 4.24264; 584, 197, 4.24264; 705, 196, 4.24264; 676, 200, 4.24264; 612, 203, 4.24264; 641, 203, 4.24264; 690, 211, 4.24264; 690, 210, 4.24264; 697, 212, 4.24264; 686, 213, 4.24264; 567, 215, 4.24264; 688, 218, 4.24264; 616, 224, 4.24264; 692, 224, 4.24264; 645, 225, 4.24264; 638, 226, 4.24264; 559, 232, 4.24264; 697, 236, 4.24264; 559, 252, 4.24264; 686, 251, 4.24264; 695, 251, 4.24264; 567, 252, 4.24264; 558, 260, 4.24264; 
