 nKp, tKp, nKpV, tDesc, nMatch, tMatch, Atot, AUnion | Kp size;
500, 0.00586107, 92, 0.0323118, 
500, 0.00649802, 102, 0.000611713, 39, 0.000483754, 61578.4, 10467| 637, 187, 31; 685, 242, 31; 563, 242, 31; 560, 242, 31; 685, 211, 31; 678, 245, 31; 686, 245, 31; 699, 181, 31; 685, 209, 31; 667, 189, 31; 659, 193, 31; 696, 191, 31; 558, 246, 31; 566, 246, 31; 659, 182, 31; 612, 221, 31; 701, 188, 31; 622, 192, 31; 688, 230, 31; 701, 194, 31; 678, 208.8, 37.2; 684, 208.8, 37.2; 676.8, 180, 37.2; 660, 181.2, 37.2; 699.6, 181.2, 37.2; 685.2, 211.2, 37.2; 560.4, 241.2, 37.2; 680.4, 241.2, 37.2; 658.8, 192, 37.2; 685.2, 243.6, 37.2; 558, 244.8, 37.2; 565.2, 244.8, 37.2; 678, 244.8, 37.2; 697.2, 190.8, 37.2; 621.6, 190.8, 37.2; 702, 187.2, 37.2; 688.8, 230.4, 37.2; 657.6, 189.6, 37.2; 685.44, 211.68, 44.64; 699.84, 181.44, 44.64; 659.52, 181.44, 44.64; 678.24, 208.8, 44.64; 682.56, 208.8, 44.64; 688.32, 230.4, 44.64; 702.72, 185.76, 44.64; 696.96, 191.52, 44.64; 666.72, 190.08, 44.64; 701.28, 192.96, 44.64; 658.368, 190.08, 53.568; 698.112, 190.08, 53.568; 667.008, 195.264, 53.568; 661.824, 181.44, 53.568; 699.84, 181.44, 53.568; 
500, 0.00574471, 106, 0.000430002, 33, 0.000546561, 63032.4, 10818| 686, 212, 31; 681, 247, 31; 656, 186, 31; 558, 247, 31; 687, 246, 31; 679, 246, 31; 652, 182, 31; 566, 246, 31; 682, 242, 31; 700, 181, 31; 685, 209, 31; 698, 192, 31; 622, 192, 31; 620, 191, 31; 702, 188, 31; 661, 189, 31; 689, 231, 31; 562, 242, 31; 635, 201, 31; 637, 187, 31; 659, 193, 31; 612, 221, 31; 702, 194, 31; 678, 209, 31; 699.6, 181.2, 37.2; 654, 181.2, 37.2; 684, 208.8, 37.2; 686.4, 244.8, 37.2; 679.2, 244.8, 37.2; 558, 246, 37.2; 679.2, 208.8, 37.2; 685.2, 211.2, 37.2; 698.4, 190.8, 37.2; 565.2, 246, 37.2; 622.8, 192, 37.2; 681.6, 241.2, 37.2; 661.2, 189.6, 37.2; 560.4, 242.4, 37.2; 658.8, 192, 37.2; 703.2, 187.2, 37.2; 676.8, 180, 37.2; 636, 187.2, 37.2; 622.08, 191.52, 44.64; 684, 208.8, 44.64; 678.24, 208.8, 44.64; 653.76, 181.44, 44.64; 699.84, 181.44, 44.64; 696.96, 191.52, 44.64; 658.08, 190.08, 44.64; 702.72, 187.2, 44.64; 688.32, 230.4, 44.64; 665.28, 190.08, 53.568; 699.84, 181.44, 53.568; 698.112, 191.808, 53.568; 658.368, 190.08, 53.568; 654.912, 183.168, 53.568; 
500, 0.00585876, 113, 0.000509188, 36, 0.000612148, 76582.6, 13797| 690, 232, 31; 613, 222, 31; 703, 188, 31; 611, 221, 31; 661, 194, 31; 697, 192, 31; 686, 209, 31; 660, 192, 31; 688, 246, 31; 558, 247, 31; 566, 247, 31; 680, 247, 31; 583, 195, 31; 620, 191, 31; 623, 193, 31; 686, 212, 31; 562, 243, 31; 659, 186, 31; 700, 181, 31; 676, 180, 31; 643, 181, 31; 637, 187, 31; 703, 194, 31; 538, 189, 31; 658.8, 186, 37.2; 680.4, 246, 37.2; 565.2, 246, 37.2; 687.6, 246, 37.2; 690, 231.6, 37.2; 626.4, 190.8, 37.2; 558, 247.2, 37.2; 679.2, 208.8, 37.2; 676.8, 180, 37.2; 685.2, 208.8, 37.2; 686.4, 212.4, 37.2; 643.2, 181.2, 37.2; 700.8, 181.2, 37.2; 622.8, 192, 37.2; 660, 192, 37.2; 698.4, 192, 37.2; 703.2, 187.2, 37.2; 645.6, 182.4, 37.2; 560.4, 242.4, 37.2; 682.8, 242.4, 37.2; 685.2, 242.4, 37.2; 619.2, 190.8, 37.2; 622.08, 191.52, 44.64; 698.4, 191.52, 44.64; 699.84, 181.44, 44.64; 684, 208.8, 44.64; 659.52, 191.52, 44.64; 640.8, 181.44, 44.64; 646.56, 182.88, 44.64; 658.08, 185.76, 44.64; 689.76, 231.84, 44.64; 704.16, 187.2, 44.64; 540, 185.76, 44.64; 676.8, 180, 44.64; 667.008, 196.992, 53.568; 701.568, 181.44, 53.568; 698.112, 191.808, 53.568; 660.096, 190.08, 53.568; 641.088, 181.44, 53.568; 705.024, 186.624, 53.568; 646.272, 183.168, 53.568; 
500, 0.0059487, 109, 0.000511518, 40, 0.00061648, 64108.7, 12607| 635, 182, 31; 689, 248, 31; 681, 248, 31; 703, 189, 31; 566, 248, 31; 558, 248, 31; 621, 192, 31; 637, 188, 31; 661, 193, 31; 559, 245, 31; 701, 181, 31; 562, 244, 31; 686, 213, 31; 623, 193, 31; 677, 180, 31; 686, 210, 31; 639, 184, 31; 613, 222, 31; 691, 233, 31; 704, 195, 31; 642, 186, 31; 538.8, 186, 37.2; 661.2, 193.2, 37.2; 676.8, 180, 37.2; 684, 243.6, 37.2; 700.8, 181.2, 37.2; 622.8, 192, 37.2; 699.6, 192, 37.2; 685.2, 210, 37.2; 636, 187.2, 37.2; 691.2, 232.8, 37.2; 560.4, 243.6, 37.2; 686.4, 243.6, 37.2; 681.6, 247.2, 37.2; 688.8, 247.2, 37.2; 558, 248.4, 37.2; 565.2, 248.4, 37.2; 704.4, 188.4, 37.2; 686.4, 212.4, 37.2; 680.4, 210, 37.2; 699.84, 181.44, 44.64; 684, 210.24, 44.64; 698.4, 192.96, 44.64; 704.16, 187.2, 44.64; 623.52, 191.52, 44.64; 540, 185.76, 44.64; 702.72, 194.4, 44.64; 659.52, 191.52, 44.64; 676.8, 180, 44.64; 667.008, 196.992, 53.568; 628.992, 188.352, 53.568; 701.568, 181.44, 53.568; 660.096, 191.808, 53.568; 699.84, 191.808, 53.568; 670.464, 198.72, 53.568; 
500, 0.00708966, 125, 0.000652454, 33, 0.000800302, 79118, 13602| 704, 189, 31; 559, 246, 31; 690, 248, 31; 558, 249, 31; 566, 249, 31; 624, 194, 31; 682, 249, 31; 687, 213, 31; 687, 211, 31; 662, 195, 31; 677, 180, 31; 701, 182, 31; 621, 192, 31; 561, 245, 31; 537, 189, 31; 705, 196, 31; 692, 234, 31; 613, 184, 31; 564, 245, 31; 686, 244, 31; 698, 193, 31; 614, 223, 31; 637, 202, 31; 637.2, 187.2, 37.2; 704.4, 188.4, 37.2; 687.6, 213.6, 37.2; 661.2, 192, 37.2; 564, 244.8, 37.2; 560.4, 244.8, 37.2; 558, 248.4, 37.2; 565.2, 248.4, 37.2; 690, 248.4, 37.2; 702, 181.2, 37.2; 699.6, 193.2, 37.2; 624, 193.2, 37.2; 681.6, 211.2, 37.2; 686.4, 210, 37.2; 686.4, 243.6, 37.2; 676.8, 180, 37.2; 556.8, 232.8, 37.2; 536.4, 189.6, 37.2; 671.04, 198.72, 44.64; 701.28, 181.44, 44.64; 630.72, 185.76, 44.64; 637.92, 187.2, 44.64; 685.44, 210.24, 44.64; 681.12, 210.24, 44.64; 666.72, 190.08, 44.64; 705.6, 187.2, 44.64; 699.84, 192.96, 44.64; 623.52, 191.52, 44.64; 660.96, 192.96, 44.64; 538.56, 185.76, 44.64; 676.8, 180, 44.64; 660.96, 185.76, 44.64; 630.72, 184.896, 53.568; 667.008, 190.08, 53.568; 699.84, 191.808, 53.568; 706.752, 188.352, 53.568; 660.096, 191.808, 53.568; 623.808, 191.808, 53.568; 668.736, 198.72, 53.568; 701.568, 181.44, 53.568; 639.36, 186.624, 53.568; 
500, 0.00574152, 130, 0.000626356, 40, 0.000911274, 75902.7, 12670| 561, 245, 31; 691, 249, 31; 683, 249, 31; 684, 246, 31; 567, 250, 31; 682, 211, 31; 705, 189, 31; 702, 182, 31; 622, 192, 31; 686, 245, 31; 625, 194, 31; 663, 195, 31; 637, 202, 31; 665, 186, 31; 687, 211, 31; 687, 213, 31; 694, 234, 31; 699, 193, 31; 669, 186, 31; 689, 245, 31; 613, 184, 31; 536, 189, 31; 706, 196, 31; 639, 187, 31; 558, 232, 31; 682.8, 211.2, 37.2; 537.6, 186, 37.2; 693.6, 234, 37.2; 686.4, 210, 37.2; 688.8, 213.6, 37.2; 564, 244.8, 37.2; 631.2, 189.6, 37.2; 624, 193.2, 37.2; 678, 180, 37.2; 705.6, 188.4, 37.2; 699.6, 193.2, 37.2; 662.4, 193.2, 37.2; 702, 181.2, 37.2; 685.2, 244.8, 37.2; 690, 248.4, 37.2; 688.8, 244.8, 37.2; 684, 248.4, 37.2; 566.4, 248.4, 37.2; 558, 248.4, 37.2; 668.4, 186, 37.2; 559.2, 246, 37.2; 535.2, 189.6, 37.2; 636, 201.6, 37.2; 705.6, 195.6, 37.2; 558, 231.6, 37.2; 630.72, 185.76, 44.64; 685.44, 210.24, 44.64; 623.52, 192.96, 44.64; 660.96, 191.52, 44.64; 705.6, 187.2, 44.64; 701.28, 181.44, 44.64; 669.6, 198.72, 44.64; 666.72, 185.76, 44.64; 699.84, 192.96, 44.64; 672.192, 198.72, 53.568; 623.808, 191.808, 53.568; 668.736, 186.624, 53.568; 701.568, 191.808, 53.568; 661.824, 191.808, 53.568; 706.752, 188.352, 53.568; 703.296, 181.44, 53.568; 
500, 0.00569113, 129, 0.000498631, 41, 0.000691334, 84109.1, 13811| 684, 250, 31; 567, 250, 31; 558, 250, 31; 692, 249, 31; 670, 184, 31; 705, 196, 31; 684, 248, 31; 664, 195, 31; 535, 188, 31; 687, 245, 31; 685, 246, 31; 625, 194, 31; 684, 211, 31; 638, 202, 31; 558, 232, 31; 662, 191, 31; 688, 211, 31; 662, 183, 31; 702, 181, 31; 705, 189, 31; 614, 223, 31; 688, 213, 31; 668, 180, 31; 678, 180, 31; 694, 235, 31; 699, 193, 31; 657, 186, 31; 535, 190, 31; 668.4, 180, 37.2; 678, 180, 37.2; 562.8, 244.8, 37.2; 558, 231.6, 37.2; 662.4, 192, 37.2; 686.4, 244.8, 37.2; 631.2, 189.6, 37.2; 694.8, 235.2, 37.2; 535.2, 188.4, 37.2; 559.2, 246, 37.2; 558, 248.4, 37.2; 691.2, 248.4, 37.2; 705.6, 188.4, 37.2; 566.4, 249.6, 37.2; 688.8, 213.6, 37.2; 684, 211.2, 37.2; 703.2, 181.2, 37.2; 625.2, 193.2, 37.2; 700.8, 193.2, 37.2; 687.6, 210, 37.2; 662.4, 182.4, 37.2; 704.4, 195.6, 37.2; 624.96, 191.52, 44.64; 682.56, 210.24, 44.64; 685.44, 210.24, 44.64; 702.72, 181.44, 44.64; 660.96, 181.44, 44.64; 662.4, 192.96, 44.64; 672.48, 198.72, 44.64; 704.16, 194.4, 44.64; 707.04, 187.2, 44.64; 620.64, 191.52, 44.64; 557.28, 231.84, 44.64; 676.8, 180, 44.64; 668.736, 179.712, 53.568; 660.096, 181.44, 53.568; 703.296, 181.44, 53.568; 670.464, 198.72, 53.568; 701.568, 191.808, 53.568; 625.536, 191.808, 53.568; 630.72, 184.896, 53.568; 661.824, 191.808, 53.568; 708.48, 186.624, 53.568; 
500, 0.00595781, 127, 0.000497221, 39, 0.000718442, 85496.9, 13018| 684, 211, 31; 688, 213, 31; 662, 191, 31; 623, 192, 31; 693, 250, 31; 685, 250, 31; 567, 250, 31; 558, 250, 31; 626, 194, 31; 688, 211, 31; 655, 183, 31; 703, 181, 31; 639, 202, 31; 668, 180, 31; 679, 180, 31; 691, 246, 31; 615, 224, 31; 564, 246, 31; 629, 180, 31; 561, 246, 31; 639, 186, 31; 706, 196, 31; 665, 195, 31; 559, 247, 31; 650, 186, 31; 706, 189, 31; 697, 236, 31; 700, 193, 31; 558, 232, 31; 670, 184, 31; 628, 182, 31; 631.2, 189.6, 37.2; 564, 246, 37.2; 685.2, 249.6, 37.2; 566.4, 249.6, 37.2; 703.2, 181.2, 37.2; 558, 249.6, 37.2; 678, 180, 37.2; 668.4, 180, 37.2; 687.6, 210, 37.2; 654, 182.4, 37.2; 625.2, 193.2, 37.2; 692.4, 248.4, 37.2; 684, 211.2, 37.2; 687.6, 246, 37.2; 664.8, 194.4, 37.2; 706.8, 188.4, 37.2; 662.4, 190.8, 37.2; 638.4, 202.8, 37.2; 628.8, 180, 37.2; 558, 231.6, 37.2; 650.4, 184.8, 37.2; 669.6, 184.8, 37.2; 653.76, 181.44, 44.64; 702.72, 181.44, 44.64; 707.04, 187.2, 44.64; 624.96, 191.52, 44.64; 701.28, 192.96, 44.64; 672.48, 198.72, 44.64; 685.44, 210.24, 44.64; 557.28, 231.84, 44.64; 627.84, 180, 44.64; 662.4, 191.52, 44.64; 701.568, 191.808, 53.568; 668.736, 179.712, 53.568; 630.72, 184.896, 53.568; 703.296, 181.44, 53.568; 653.184, 183.168, 53.568; 673.92, 198.72, 53.568; 708.48, 188.352, 53.568; 625.536, 191.808, 53.568; 663.552, 191.808, 53.568; 628.992, 179.712, 53.568; 
500, 0.00564338, 128, 0.000727972, 44, 0.000902019, 85461.9, 13190| 701, 192, 31; 623, 192, 31; 685, 211, 31; 697, 236, 31; 663, 191, 31; 689, 213, 31; 706, 189, 31; 558, 232, 31; 647, 183, 31; 629, 192, 31; 703, 181, 31; 678, 180, 31; 626, 194, 31; 668, 180, 31; 648, 180, 31; 666, 195, 31; 694, 250, 31; 629, 180, 31; 558, 251, 31; 615, 224, 31; 689, 211, 31; 567, 251, 31; 707, 196, 31; 686, 251, 31; 561, 246, 31; 689, 246, 31; 693.6, 249.6, 37.2; 686.4, 249.6, 37.2; 690, 213.6, 37.2; 566.4, 249.6, 37.2; 702, 193.2, 37.2; 558, 249.6, 37.2; 706.8, 188.4, 37.2; 685.2, 211.2, 37.2; 646.8, 182.4, 37.2; 664.8, 194.4, 37.2; 691.2, 246, 37.2; 688.8, 246, 37.2; 626.4, 193.2, 37.2; 564, 246, 37.2; 704.4, 181.2, 37.2; 688.8, 210, 37.2; 648, 180, 37.2; 678, 180, 37.2; 628.8, 180, 37.2; 638.4, 202.8, 37.2; 558, 231.6, 37.2; 697.2, 236.4, 37.2; 706.8, 195.6, 37.2; 669.6, 184.8, 37.2; 704.16, 181.44, 44.64; 645.12, 182.88, 44.64; 629.28, 180, 44.64; 624.96, 192.96, 44.64; 707.04, 187.2, 44.64; 701.28, 192.96, 44.64; 705.6, 194.4, 44.64; 673.92, 198.72, 44.64; 557.28, 231.84, 44.64; 686.88, 210.24, 44.64; 662.4, 190.08, 44.64; 625.536, 191.808, 53.568; 668.736, 179.712, 53.568; 705.024, 181.44, 53.568; 630.72, 184.896, 53.568; 672.192, 198.72, 53.568; 708.48, 188.352, 53.568; 663.552, 191.808, 53.568; 628.992, 179.712, 53.568; 644.544, 183.168, 53.568; 649.728, 179.712, 53.568; 
