 nKp, tKp, nKpV, tDesc, nMatch, tMatch, Atot, AUnion | Kp size;
1370, 0.11493, 125, 0.0170583, 
1301, 0.0156621, 118, 0.000904148, 85, 0.0114706, 1482.83, 1531| 677, 181, 4; 622, 193, 4; 686, 210, 4; 637, 187, 4; 559, 247, 4; 679, 246, 4; 660, 183, 4; 686, 246, 4; 700, 182, 4; 612, 221, 4; 566, 247, 4; 700, 188, 4; 657, 189, 4; 696, 192, 4; 582, 195, 4; 689, 231, 4; 702, 194, 4; 668, 189, 4; 614, 184, 4; 591, 189, 4; 636, 201, 4; 678, 210, 4; 660, 194, 4; 622, 185, 4; 537, 214, 4; 587, 193, 4; 686, 220, 4; 664, 186, 4; 668, 197, 4; 694, 187, 4; 608, 201, 4; 634, 222, 4; 549, 185, 4; 632, 182, 4; 703, 185, 4; 560, 243, 4; 683, 217, 4; 597, 184, 4; 558, 228, 4; 538, 192, 4; 540, 210, 4; 555, 235, 4; 711, 188, 4; 640, 222, 4; 565, 213, 4; 705, 246, 4; 662, 222, 4; 688, 196, 4; 536, 209, 4; 695, 235, 4; 545, 189, 4; 666, 222, 4; 541, 199, 4; 536, 303, 4; 665, 194, 4; 693, 209, 4; 551, 235, 4; 577, 200, 4; 693, 270, 4; 694, 198, 4; 536, 201, 4; 660, 205, 4; 676, 227, 4; 619, 203, 4; 584, 222, 4; 568, 254, 4; 615, 204, 4; 688, 240, 4; 673, 190, 4; 552, 245, 4; 700, 201, 4; 695, 311, 4; 627, 258, 4; 559, 217, 4; 611, 252, 4; 694, 248, 4; 618, 252, 4; 603, 184, 4; 641, 204, 4; 546, 181, 4; 544, 242, 4; 688, 324, 4; 630, 252, 4; 686, 200, 4; 541, 298, 4; 617, 256, 4; 585, 188, 4; 550, 286, 4; 571, 201, 4; 612, 211, 4; 548, 291, 4; 610, 256, 4; 664, 217, 4; 639, 252, 4; 635, 256, 4; 663, 229, 4; 664, 199, 4; 709, 304, 4; 642, 208, 4; 541, 186, 4; 640, 257, 4; 623, 243, 4; 697, 280, 4; 585, 182, 4; 698, 252, 4; 711, 197, 4; 625, 254, 4; 538, 247, 4; 664, 233, 4; 572, 246, 4; 689, 216, 4; 606, 256, 4; 689, 192, 4; 695, 259, 4; 535, 184, 4; 657, 210, 4; 706, 219, 4; 696, 320, 4; 
1361, 0.0121102, 123, 0.000752145, 85, 0.00106036, 1545.66, 1592| 677, 181, 4; 622, 193, 4; 686, 210, 4; 637, 188, 4; 653, 183, 4; 559, 247, 4; 701, 188, 4; 700, 182, 4; 680, 247, 4; 687, 246, 4; 660, 189, 4; 566, 247, 4; 582, 195, 4; 637, 201, 4; 612, 221, 4; 690, 232, 4; 697, 192, 4; 703, 194, 4; 613, 184, 4; 661, 194, 4; 679, 210, 4; 656, 189, 4; 668, 189, 4; 609, 201, 4; 541, 186, 4; 591, 188, 4; 687, 220, 4; 537, 214, 4; 634, 222, 4; 587, 193, 4; 669, 198, 4; 694, 188, 4; 684, 217, 4; 632, 182, 4; 558, 229, 4; 681, 243, 4; 597, 184, 4; 641, 222, 4; 565, 213, 4; 536, 192, 4; 711, 188, 4; 706, 247, 4; 693, 209, 4; 563, 243, 4; 536, 210, 4; 555, 235, 4; 663, 222, 4; 670, 185, 4; 689, 196, 4; 667, 222, 4; 693, 237, 4; 536, 304, 4; 550, 236, 4; 577, 200, 4; 540, 199, 4; 665, 194, 4; 694, 198, 4; 677, 228, 4; 690, 200, 4; 696, 233, 4; 694, 270, 4; 536, 201, 4; 619, 204, 4; 623, 186, 4; 660, 205, 4; 584, 223, 4; 673, 190, 4; 689, 241, 4; 568, 255, 4; 559, 218, 4; 552, 245, 4; 689, 326, 4; 610, 252, 4; 618, 252, 4; 695, 249, 4; 543, 243, 4; 686, 200, 4; 701, 201, 4; 628, 259, 4; 603, 184, 4; 565, 218, 4; 537, 182, 4; 641, 204, 4; 651, 189, 4; 699, 256, 4; 696, 312, 4; 612, 211, 4; 550, 287, 4; 622, 257, 4; 618, 257, 4; 665, 217, 4; 623, 180, 4; 630, 252, 4; 636, 257, 4; 639, 252, 4; 664, 229, 4; 642, 209, 4; 612, 257, 4; 540, 299, 4; 641, 257, 4; 548, 292, 4; 557, 241, 4; 711, 246, 4; 711, 307, 4; 624, 244, 4; 585, 182, 4; 711, 197, 4; 625, 254, 4; 665, 233, 4; 664, 199, 4; 537, 249, 4; 645, 257, 4; 633, 204, 4; 698, 207, 4; 554, 254, 4; 572, 247, 4; 595, 250, 4; 695, 263, 4; 689, 192, 4; 690, 216, 4; 658, 211, 4; 695, 319, 4; 680, 197, 4; 
1358, 0.01263, 120, 0.000689908, 88, 0.00107091, 1507.96, 1555| 677, 181, 4; 687, 210, 4; 623, 193, 4; 701, 182, 4; 637, 188, 4; 559, 248, 4; 688, 247, 4; 681, 247, 4; 566, 248, 4; 703, 188, 4; 644, 181, 4; 613, 222, 4; 697, 193, 4; 657, 189, 4; 691, 233, 4; 583, 195, 4; 703, 194, 4; 613, 183, 4; 540, 186, 4; 668, 189, 4; 662, 189, 4; 638, 202, 4; 661, 194, 4; 650, 186, 4; 679, 210, 4; 536, 215, 4; 609, 202, 4; 688, 221, 4; 635, 223, 4; 594, 188, 4; 670, 199, 4; 695, 188, 4; 632, 182, 4; 685, 218, 4; 539, 211, 4; 535, 192, 4; 558, 230, 4; 642, 223, 4; 588, 190, 4; 712, 188, 4; 556, 234, 4; 565, 214, 4; 535, 210, 4; 707, 248, 4; 564, 244, 4; 664, 223, 4; 690, 197, 4; 668, 195, 4; 540, 199, 4; 697, 236, 4; 549, 237, 4; 694, 210, 4; 694, 239, 4; 536, 305, 4; 672, 195, 4; 577, 201, 4; 695, 199, 4; 695, 271, 4; 677, 228, 4; 623, 186, 4; 619, 204, 4; 559, 218, 4; 673, 190, 4; 660, 205, 4; 584, 223, 4; 687, 200, 4; 570, 255, 4; 552, 245, 4; 611, 253, 4; 626, 181, 4; 612, 212, 4; 696, 250, 4; 540, 300, 4; 542, 244, 4; 619, 253, 4; 631, 253, 4; 565, 218, 4; 628, 260, 4; 697, 314, 4; 664, 210, 4; 589, 196, 4; 690, 327, 4; 641, 253, 4; 603, 185, 4; 620, 258, 4; 665, 217, 4; 609, 187, 4; 665, 230, 4; 550, 288, 4; 616, 256, 4; 643, 209, 4; 625, 245, 4; 636, 253, 4; 557, 242, 4; 611, 258, 4; 712, 197, 4; 636, 258, 4; 548, 292, 4; 714, 312, 4; 643, 259, 4; 700, 257, 4; 619, 187, 4; 712, 248, 4; 537, 248, 4; 584, 183, 4; 666, 234, 4; 535, 206, 4; 625, 255, 4; 707, 220, 4; 712, 264, 4; 615, 209, 4; 658, 211, 4; 607, 258, 4; 621, 245, 4; 596, 251, 4; 680, 197, 4; 697, 261, 4; 708, 236, 4; 700, 281, 4; 597, 211, 4; 
1333, 0.0120056, 120, 0.000804488, 91, 0.00100875, 1507.96, 1556| 677, 181, 4; 687, 211, 4; 623, 194, 4; 559, 249, 4; 689, 248, 4; 701, 182, 4; 637, 189, 4; 566, 249, 4; 682, 248, 4; 698, 193, 4; 583, 196, 4; 704, 195, 4; 613, 223, 4; 637, 182, 4; 702, 189, 4; 613, 183, 4; 691, 233, 4; 660, 189, 4; 540, 187, 4; 669, 189, 4; 662, 195, 4; 664, 191, 4; 680, 211, 4; 610, 202, 4; 638, 202, 4; 535, 216, 4; 643, 188, 4; 688, 222, 4; 636, 224, 4; 650, 188, 4; 671, 199, 4; 594, 188, 4; 588, 193, 4; 632, 182, 4; 695, 189, 4; 558, 231, 4; 668, 195, 4; 642, 224, 4; 536, 193, 4; 694, 210, 4; 566, 214, 4; 565, 245, 4; 709, 250, 4; 667, 223, 4; 689, 197, 4; 691, 201, 4; 712, 189, 4; 536, 306, 4; 695, 240, 4; 624, 186, 4; 549, 238, 4; 539, 200, 4; 696, 273, 4; 577, 201, 4; 695, 199, 4; 535, 202, 4; 679, 229, 4; 660, 206, 4; 699, 201, 4; 619, 205, 4; 584, 224, 4; 559, 219, 4; 697, 235, 4; 570, 257, 4; 611, 254, 4; 691, 243, 4; 629, 261, 4; 674, 191, 4; 541, 246, 4; 555, 237, 4; 563, 219, 4; 664, 210, 4; 552, 246, 4; 687, 201, 4; 619, 254, 4; 612, 212, 4; 697, 252, 4; 603, 185, 4; 620, 259, 4; 632, 254, 4; 624, 181, 4; 642, 206, 4; 550, 289, 4; 642, 254, 4; 540, 301, 4; 643, 259, 4; 691, 328, 4; 611, 259, 4; 666, 218, 4; 616, 257, 4; 666, 231, 4; 637, 259, 4; 698, 315, 4; 637, 254, 4; 557, 243, 4; 535, 251, 4; 625, 246, 4; 643, 210, 4; 616, 261, 4; 548, 294, 4; 584, 183, 4; 626, 256, 4; 701, 256, 4; 710, 198, 4; 667, 235, 4; 596, 180, 4; 690, 193, 4; 667, 200, 4; 615, 209, 4; 629, 189, 4; 607, 259, 4; 714, 266, 4; 698, 323, 4; 596, 252, 4; 642, 180, 4; 659, 212, 4; 548, 231, 4; 687, 186, 4; 653, 192, 4; 597, 212, 4; 
1284, 0.0119078, 113, 0.000736818, 88, 0.00105137, 1420, 1463| 678, 182, 4; 624, 195, 4; 688, 211, 4; 702, 183, 4; 559, 250, 4; 637, 188, 4; 690, 249, 4; 698, 194, 4; 669, 191, 4; 704, 189, 4; 683, 250, 4; 664, 191, 4; 614, 224, 4; 583, 196, 4; 567, 250, 4; 705, 196, 4; 693, 235, 4; 539, 187, 4; 613, 184, 4; 663, 195, 4; 659, 190, 4; 638, 203, 4; 610, 203, 4; 636, 224, 4; 672, 200, 4; 632, 186, 4; 682, 212, 4; 557, 232, 4; 689, 222, 4; 588, 194, 4; 669, 195, 4; 593, 188, 4; 645, 188, 4; 631, 182, 4; 711, 180, 4; 560, 246, 4; 696, 189, 4; 643, 224, 4; 625, 186, 4; 566, 215, 4; 635, 183, 4; 668, 224, 4; 692, 201, 4; 565, 246, 4; 710, 251, 4; 695, 211, 4; 713, 189, 4; 538, 200, 4; 696, 241, 4; 536, 307, 4; 548, 239, 4; 680, 230, 4; 697, 274, 4; 696, 200, 4; 627, 182, 4; 577, 202, 4; 618, 187, 4; 684, 217, 4; 661, 207, 4; 563, 219, 4; 674, 185, 4; 698, 236, 4; 620, 205, 4; 585, 225, 4; 701, 203, 4; 569, 258, 4; 612, 255, 4; 674, 189, 4; 613, 213, 4; 630, 262, 4; 665, 211, 4; 540, 247, 4; 553, 245, 4; 603, 185, 4; 620, 255, 4; 698, 253, 4; 632, 255, 4; 621, 260, 4; 688, 201, 4; 667, 219, 4; 625, 247, 4; 550, 289, 4; 642, 255, 4; 699, 316, 4; 703, 260, 4; 612, 260, 4; 638, 260, 4; 548, 294, 4; 644, 260, 4; 644, 210, 4; 667, 231, 4; 638, 255, 4; 540, 302, 4; 617, 258, 4; 635, 206, 4; 608, 261, 4; 584, 183, 4; 690, 193, 4; 627, 257, 4; 711, 199, 4; 669, 183, 4; 667, 200, 4; 668, 236, 4; 553, 235, 4; 539, 293, 4; 596, 253, 4; 700, 209, 4; 660, 213, 4; 699, 320, 4; 598, 213, 4; 573, 250, 4; 687, 186, 4; 709, 222, 4; 
1322, 0.0169695, 114, 0.00106294, 79, 0.00138689, 1432.57, 1481| 678, 182, 4; 625, 195, 4; 689, 211, 4; 637, 188, 4; 703, 183, 4; 705, 189, 4; 684, 250, 4; 692, 250, 4; 559, 251, 4; 699, 194, 4; 615, 224, 4; 706, 196, 4; 694, 235, 4; 664, 189, 4; 659, 191, 4; 639, 204, 4; 584, 197, 4; 670, 187, 4; 614, 184, 4; 663, 195, 4; 567, 250, 4; 558, 232, 4; 633, 187, 4; 637, 225, 4; 684, 212, 4; 538, 186, 4; 690, 223, 4; 633, 180, 4; 610, 203, 4; 655, 187, 4; 673, 200, 4; 536, 190, 4; 670, 195, 4; 593, 188, 4; 566, 215, 4; 588, 195, 4; 687, 219, 4; 643, 224, 4; 692, 201, 4; 560, 247, 4; 695, 211, 4; 685, 246, 4; 669, 224, 4; 711, 252, 4; 713, 189, 4; 711, 180, 4; 696, 189, 4; 591, 192, 4; 697, 241, 4; 596, 185, 4; 680, 230, 4; 536, 308, 4; 547, 240, 4; 697, 200, 4; 578, 202, 4; 537, 200, 4; 618, 187, 4; 698, 274, 4; 625, 187, 4; 563, 219, 4; 699, 236, 4; 675, 185, 4; 661, 207, 4; 693, 244, 4; 701, 203, 4; 585, 225, 4; 620, 205, 4; 666, 212, 4; 559, 220, 4; 539, 247, 4; 620, 256, 4; 613, 213, 4; 601, 185, 4; 701, 317, 4; 612, 255, 4; 554, 243, 4; 633, 256, 4; 630, 262, 4; 540, 303, 4; 617, 259, 4; 667, 219, 4; 642, 256, 4; 620, 262, 4; 550, 290, 4; 667, 232, 4; 699, 255, 4; 548, 295, 4; 638, 261, 4; 569, 258, 4; 645, 259, 4; 668, 201, 4; 611, 261, 4; 626, 247, 4; 691, 193, 4; 584, 183, 4; 628, 258, 4; 700, 322, 4; 704, 260, 4; 714, 198, 4; 669, 236, 4; 646, 212, 4; 616, 210, 4; 660, 212, 4; 573, 250, 4; 698, 326, 4; 574, 257, 4; 537, 295, 4; 708, 266, 4; 688, 186, 4; 597, 254, 4; 642, 213, 4; 624, 256, 4; 598, 213, 4; 608, 258, 4; 
1366, 0.013955, 123, 0.0010403, 80, 0.00143331, 1545.66, 1597| 678, 181, 4; 669, 180, 4; 662, 184, 4; 689, 211, 4; 625, 195, 4; 637, 188, 4; 703, 182, 4; 559, 251, 4; 693, 250, 4; 685, 250, 4; 558, 232, 4; 705, 189, 4; 567, 251, 4; 700, 194, 4; 706, 196, 4; 615, 224, 4; 695, 236, 4; 639, 204, 4; 613, 183, 4; 628, 192, 4; 584, 197, 4; 664, 195, 4; 670, 184, 4; 537, 186, 4; 656, 188, 4; 637, 225, 4; 682, 211, 4; 661, 190, 4; 631, 182, 4; 611, 203, 4; 674, 200, 4; 535, 190, 4; 691, 223, 4; 647, 187, 4; 593, 188, 4; 670, 195, 4; 567, 215, 4; 696, 211, 4; 644, 225, 4; 560, 247, 4; 688, 219, 4; 693, 201, 4; 697, 189, 4; 667, 224, 4; 698, 242, 4; 596, 185, 4; 713, 253, 4; 688, 245, 4; 672, 188, 4; 536, 308, 4; 681, 230, 4; 714, 189, 4; 591, 192, 4; 546, 240, 4; 537, 200, 4; 578, 202, 4; 698, 200, 4; 699, 275, 4; 667, 212, 4; 563, 219, 4; 694, 244, 4; 626, 187, 4; 661, 206, 4; 621, 205, 4; 585, 225, 4; 701, 237, 4; 702, 203, 4; 618, 187, 4; 614, 256, 4; 559, 220, 4; 675, 191, 4; 617, 206, 4; 602, 185, 4; 550, 290, 4; 538, 248, 4; 621, 256, 4; 631, 263, 4; 613, 212, 4; 554, 243, 4; 664, 209, 4; 643, 256, 4; 634, 256, 4; 701, 318, 4; 622, 261, 4; 689, 201, 4; 607, 181, 4; 702, 257, 4; 668, 219, 4; 668, 232, 4; 647, 212, 4; 618, 259, 4; 540, 303, 4; 639, 261, 4; 668, 189, 4; 613, 262, 4; 548, 295, 4; 646, 259, 4; 639, 256, 4; 701, 329, 4; 627, 248, 4; 642, 214, 4; 535, 298, 4; 609, 261, 4; 670, 236, 4; 705, 260, 4; 628, 258, 4; 584, 183, 4; 691, 193, 4; 551, 236, 4; 634, 206, 4; 553, 254, 4; 573, 250, 4; 608, 187, 4; 661, 213, 4; 546, 232, 4; 688, 186, 4; 597, 254, 4; 621, 181, 4; 701, 209, 4; 649, 263, 4; 682, 198, 4; 597, 213, 4; 548, 265, 4; 
1389, 0.0172936, 111, 0.00141561, 87, 0.00128019, 1394.87, 1442| 679, 181, 4; 690, 211, 4; 626, 195, 4; 704, 182, 4; 655, 184, 4; 559, 251, 4; 637, 188, 4; 686, 251, 4; 693, 250, 4; 640, 204, 4; 567, 251, 4; 706, 189, 4; 558, 232, 4; 701, 194, 4; 707, 196, 4; 616, 224, 4; 584, 196, 4; 662, 190, 4; 696, 236, 4; 685, 212, 4; 613, 183, 4; 648, 188, 4; 638, 225, 4; 671, 184, 4; 665, 195, 4; 674, 200, 4; 537, 186, 4; 631, 182, 4; 611, 203, 4; 632, 186, 4; 691, 223, 4; 593, 188, 4; 589, 194, 4; 671, 195, 4; 567, 215, 4; 697, 211, 4; 644, 225, 4; 687, 247, 4; 693, 201, 4; 560, 247, 4; 673, 188, 4; 670, 225, 4; 701, 190, 4; 714, 254, 4; 538, 190, 4; 564, 246, 4; 536, 309, 4; 699, 243, 4; 682, 231, 4; 596, 185, 4; 667, 212, 4; 545, 241, 4; 698, 200, 4; 714, 189, 4; 626, 187, 4; 702, 240, 4; 536, 200, 4; 700, 275, 4; 578, 202, 4; 697, 188, 4; 621, 205, 4; 662, 207, 4; 562, 218, 4; 586, 225, 4; 602, 185, 4; 537, 249, 4; 669, 201, 4; 616, 256, 4; 618, 187, 4; 621, 257, 4; 614, 213, 4; 702, 319, 4; 554, 243, 4; 632, 263, 4; 634, 257, 4; 644, 257, 4; 703, 257, 4; 618, 260, 4; 647, 212, 4; 668, 219, 4; 643, 214, 4; 688, 204, 4; 669, 232, 4; 647, 260, 4; 607, 181, 4; 623, 262, 4; 548, 296, 4; 550, 291, 4; 640, 262, 4; 627, 248, 4; 613, 262, 4; 629, 259, 4; 713, 198, 4; 584, 183, 4; 553, 254, 4; 692, 193, 4; 709, 265, 4; 670, 237, 4; 547, 268, 4; 551, 236, 4; 661, 213, 4; 702, 209, 4; 597, 254, 4; 573, 251, 4; 689, 186, 4; 682, 198, 4; 545, 233, 4; 706, 288, 4; 702, 265, 4; 560, 257, 4; 695, 219, 4; 
1339, 0.012207, 112, 0.000823126, 88, 0.00094727, 1407.43, 1454| 679, 181, 4; 626, 195, 4; 690, 211, 4; 704, 182, 4; 647, 184, 4; 695, 251, 4; 559, 252, 4; 687, 251, 4; 640, 204, 4; 558, 233, 4; 629, 192, 4; 567, 252, 4; 707, 195, 4; 701, 193, 4; 649, 180, 4; 707, 189, 4; 616, 224, 4; 584, 196, 4; 663, 190, 4; 637, 188, 4; 638, 225, 4; 642, 186, 4; 671, 184, 4; 666, 195, 4; 697, 237, 4; 675, 200, 4; 633, 186, 4; 536, 186, 4; 612, 203, 4; 630, 181, 4; 692, 223, 4; 613, 183, 4; 593, 188, 4; 589, 194, 4; 697, 211, 4; 672, 195, 4; 645, 225, 4; 567, 216, 4; 558, 260, 4; 713, 299, 4; 673, 188, 4; 694, 201, 4; 560, 248, 4; 671, 225, 4; 688, 247, 4; 700, 243, 4; 683, 231, 4; 566, 248, 4; 535, 310, 4; 668, 212, 4; 544, 242, 4; 699, 200, 4; 578, 202, 4; 603, 182, 4; 627, 185, 4; 535, 200, 4; 701, 276, 4; 714, 189, 4; 702, 238, 4; 621, 205, 4; 614, 257, 4; 607, 181, 4; 703, 203, 4; 697, 188, 4; 662, 207, 4; 696, 245, 4; 586, 225, 4; 535, 250, 4; 618, 187, 4; 559, 220, 4; 632, 264, 4; 614, 213, 4; 622, 257, 4; 703, 320, 4; 635, 257, 4; 623, 262, 4; 643, 214, 4; 647, 213, 4; 554, 243, 4; 689, 201, 4; 644, 257, 4; 640, 262, 4; 670, 232, 4; 705, 257, 4; 669, 219, 4; 550, 291, 4; 614, 262, 4; 647, 262, 4; 539, 305, 4; 548, 296, 4; 619, 260, 4; 628, 249, 4; 583, 182, 4; 707, 290, 4; 629, 259, 4; 692, 193, 4; 714, 199, 4; 610, 262, 4; 703, 324, 4; 573, 251, 4; 672, 237, 4; 544, 233, 4; 710, 265, 4; 551, 237, 4; 662, 213, 4; 712, 223, 4; 547, 268, 4; 598, 255, 4; 588, 251, 4; 682, 198, 4; 551, 261, 4; 689, 185, 4; 
